time,instance,orders,time,averager_per_truck
2024-04-12.09:24:16,./INPUT/05.txt,163,694836,8.15
2024-04-12.09:24:22,./INPUT/05.txt,163,688436,8.15
2024-04-12.09:24:36,./INPUT/05.txt,169,700301,8.45
2024-04-12.09:24:42,./INPUT/05.txt,160,682938,8.00
2024-04-12.09:24:45,./INPUT/05.txt,161,686432,8.05
2024-04-12.14:30:11,./INPUT/05.txt,161,691955,8.05
2024-04-12.14:54:40,./INPUT/05.txt,164,680259,8.20
2024-04-12.14:54:45,./INPUT/05.txt,164,677038,8.20
2024-04-12.14:54:50,./INPUT/05.txt,165,684306,8.25
2024-04-12.14:54:55,./INPUT/05.txt,159,691812,7.95
2024-04-12.14:55:00,./INPUT/05.txt,163,681685,8.15
2024-04-12.14:55:10,./INPUT/05.txt,165,683451,8.25
2024-04-12.14:55:05,./INPUT/05.txt,164,688510,8.20
2024-04-12.14:55:20,./INPUT/05.txt,163,681971,8.15
2024-04-12.14:55:15,./INPUT/05.txt,163,677812,8.15
2024-04-12.14:55:25,./INPUT/05.txt,162,672779,8.10
2024-04-12.14:59:46,./INPUT/05.txt,163,687263,8.15
2024-04-12.15:00:00,./INPUT/05.txt,165,681734,8.25
2024-04-12.14:59:57,./INPUT/05.txt,163,692044,8.15
2024-04-12.15:00:12,./INPUT/05.txt,160,685806,8.00
2024-04-12.15:00:17,./INPUT/05.txt,169,686482,8.45
2024-04-12.15:00:25,./INPUT/05.txt,160,682535,8.00
2024-04-12.15:00:29,./INPUT/05.txt,166,681919,8.30
2024-04-12.15:00:07,./INPUT/05.txt,165,686580,8.25
2024-04-12.15:00:27,./INPUT/05.txt,164,687548,8.20
2024-04-12.15:00:47,./INPUT/05.txt,164,683729,8.20
2024-04-12.15:04:55,./INPUT/05.txt,161,684973,8.05
2024-04-12.15:05:05,./INPUT/05.txt,162,693786,8.10
2024-04-12.15:05:07,./INPUT/05.txt,164,696312,8.20
2024-04-12.15:05:22,./INPUT/05.txt,161,683749,8.05
2024-04-12.15:05:29,./INPUT/05.txt,167,679103,8.35
2024-04-12.15:05:32,./INPUT/05.txt,166,671984,8.30
2024-04-12.15:05:28,./INPUT/05.txt,168,685948,8.40
2024-04-12.15:05:28,./INPUT/05.txt,164,682664,8.20
2024-04-12.15:05:32,./INPUT/05.txt,164,679751,8.20
2024-04-12.15:05:55,./INPUT/05.txt,161,681049,8.05
2024-04-12.15:48:17,./INPUT/05.txt,169,690321,8.45
2024-04-12.15:48:32,./INPUT/05.txt,169,692117,8.45
2024-04-12.15:48:27,./INPUT/05.txt,170,685729,8.50
2024-04-12.15:48:22,./INPUT/05.txt,175,688301,8.75
2024-04-12.15:48:37,./INPUT/05.txt,169,690795,8.45
2024-04-12.15:48:42,./INPUT/05.txt,170,699775,8.50
2024-04-12.15:48:57,./INPUT/05.txt,166,690798,8.30
2024-04-12.15:48:47,./INPUT/05.txt,171,689918,8.55
2024-04-12.15:48:52,./INPUT/05.txt,174,691441,8.70
2024-04-12.15:49:02,./INPUT/05.txt,173,688376,8.65
2024-04-12.15:56:07,./INPUT/05.txt,168,688125,8.40
2024-04-12.15:56:12,./INPUT/05.txt,169,678968,8.45
2024-04-12.15:56:17,./INPUT/05.txt,169,682820,8.45
2024-04-12.15:56:22,./INPUT/05.txt,169,676953,8.45
2024-04-12.15:56:27,./INPUT/05.txt,169,697880,8.45
2024-04-12.15:56:37,./INPUT/05.txt,170,693831,8.50
2024-04-12.15:56:32,./INPUT/05.txt,168,686597,8.40
2024-04-12.15:56:47,./INPUT/05.txt,165,692487,8.25
2024-04-12.15:56:42,./INPUT/05.txt,171,679751,8.55
2024-04-12.15:56:52,./INPUT/05.txt,166,693540,8.30
2024-04-12.16:02:18,./INPUT/05.txt,172,696974,8.60
